,A1,C4
PE160357,1,0
PE160365,1,0
PE160380,1,0
PE160412,1,0
PE160418,1,0
PE160428,1,0
PE160431,1,0
PE160432,1,0
PE160194,1,0
PE160195,1,0
PE160206,1,0
PE160209,1,0
PE160216,1,0
PE160222,1,0
PE160224,1,0
PE160225,1,0
PE160234,1,0
PE160237,1,0
PE160240,1,0
PE160249,1,0
PE160254,1,0
PE160269,1,0
PE160286,1,0
PE160295,1,0
PE160299,1,0
PE160304,1,0
PE160309,1,0
PE160314,1,0
PE160317,1,0
PE160318,1,0
PE160324,1,0
PE160329,1,0
PE160330,1,0
PE160338,1,0
PE160347,1,0
PE160349,1,0
PE160360,1,0
PE160366,1,0
PE160370,1,0
PE160397,1,0
PE160400,1,0
PE160417,1,0
PE160424,1,0
PE160429,1,0
PE160200,1,0
PE160215,1,0
PE160220,1,0
PE160231,1,0
PE160232,1,0
PE160258,1,0
PE160315,1,0
PE160327,1,0
PE160332,1,0
PE160335,1,0
PE160369,1,0
PE160379,1,0
PE160381,1,0
PE160390,1,0
PE160406,1,0
PE160408,1,0
PE160420,1,0
PE160423,1,0
PE160433,1,0
PE160434,1,0
PE160202,1,0
PE160205,1,0
PE160208,1,0
PE160227,1,0
PE160228,1,0
PE160257,1,0
PE160270,1,0
PE160287,1,0
PE160301,1,0
PE160306,1,0
PE160316,1,0
PE160340,1,0
PE160341,1,0
PE160354,1,0
PE160382,1,0
PE160395,1,0
PE160416,1,0
PE160430,1,0
