,A1,C4
PE150707,1,0
PE150708,1,0
PE150710,1,0
PE150727,1,0
PE150728,1,0
PE150729,1,0
PE150733,1,0
PE150736,1,0
PE150737,1,0
PE150740,1,0
PE150741,1,0
PE150742,1,0
PE150743,1,0
PE150744,1,0
PE150745,1,0
PE150746,1,0
PE150747,1,0
PE150801,1,0
PE150803,1,0
PE150805,1,0
PE150807,1,0
PE150808,1,0
PE150813,1,0
PE150814,1,0
PE150815,1,0
PE150817,1,0
PE150825,1,0
PE150827,1,0
PE150829,1,0
PE150831,1,0
PE150833,1,0
PE150834,1,0
PE150835,1,0
PE150841,1,0
PE150854,1,0
PE150855,1,0
PE150859,1,0
PE150860,1,0
PE150862,1,0
PE150866,1,0
PE150869,1,0
PE150870,1,0
PE150873,1,0
PE150875,1,0
PE150876,1,0
PE150887,1,0
PE150888,1,0
PE150890,1,0
PE160001,1,0
PE160004,1,0
PE160009,1,0
PE160011,1,0
PE160019,1,0
PE160022,1,0
PE160026,1,0
PE160032,1,0
PE160036,1,0
PE160038,1,0
PE160042,1,0
PE160043,1,0
PE160044,1,0
PE160047,1,0
PE160050,1,0
PE160053,1,0
PE160056,1,0
PE160057,1,0
PE160058,1,0
PE160063,1,0
PE160066,1,0
PE160067,1,0
PE160076,1,0
PE160081,1,0
PE160084,1,0
PE160085,1,0
PE160086,1,0
PE160090,1,0
PE160095,1,0
PE160096,1,0
PE160105,1,0
PE160109,1,0
PE160110,1,0
PE160112,1,0
PE160113,1,0
PE160114,1,0
PE160115,1,0
PE160117,1,0
PE160118,1,0
PE160119,1,0
PE160126,1,0
PE160133,1,0
PE160134,1,0
PE160139,1,0
PE160140,1,0
PE160144,1,0
PE160145,1,0
PE160150,1,0
PE160153,1,0
PE160156,1,0
PE160158,1,0
PE160161,1,0
PE160165,1,0
PE160167,1,0
PE160168,1,0
PE160169,1,0
PE160170,1,0
PE160171,1,0
PE160175,1,0
PE160177,1,0
PE160182,1,0
PE160185,1,0
PE160187,1,0
PE160189,1,0
PE160190,1,0
PE170599,1,0
PE170602,1,0
PE170603,1,0
PE170605,1,0
PE170608,1,0
PE170609,1,0
PE170610,1,0
PE170611,1,0
PE170612,1,0
PE170613,1,0
PE170614,1,0
PE170618,1,0
PE170621,1,0
PE170623,1,0
PE170627,1,0
PE170631,1,0
PE170633,1,0
PE170636,1,0
PE170637,1,0
PE170641,1,0
PE170648,1,0
PE170650,1,0
PE170654,1,0
PE170657,1,0
PE170658,1,0
PE170659,1,0
PE170661,1,0
PE170665,1,0
PE170667,1,0
PE170670,1,0
PE170671,1,0
PE170672,1,0
PE170674,1,0
PE170675,1,0
PE170676,1,0
PE170678,1,0
PE170681,1,0
PE170683,1,0
PE170689,1,0
PE170690,1,0
PE170692,1,0
PE170695,1,0
PE170696,1,0
PE170699,1,0
PE170700,1,0
PE170702,1,0
PE170703,1,0
PE170704,1,0
PE170705,1,0
PE170708,1,0
PE170710,1,0
PE170716,1,0
PE170717,1,0
PE170718,1,0
PE170721,1,0
PE170722,1,0
PE170726,1,0
PE170727,1,0
PE170728,1,0
PE170730,1,0
PE170731,1,0
PE170733,1,0
PE170734,1,0
PE170735,1,0
PE170737,1,0
PE170738,1,0
PE170740,1,0
PE170741,1,0
PE170744,1,0
PE170745,1,0
PE170746,1,0
PE170752,1,0
PE170756,1,0
PE170757,1,0
PE170758,1,0
PE170759,1,0
PE170761,1,0
PE170764,1,0
PE170765,1,0
PE170767,1,0
PE170773,1,0
PE170775,1,0
PE170776,1,0
PE170777,1,0
PE170778,1,0
PE170779,1,0
PE170780,1,0
PE170783,1,0
PE170785,1,0
PE170788,1,0
PE170789,1,0
PE170791,1,0
PE170794,1,0
PE170796,1,0
PE170797,1,0
PE170799,1,0
PE170801,1,0
PE170803,1,0
PE170804,1,0
PE170807,1,0
PE170808,1,0
PE170809,1,0
PE170811,1,0
PE170812,1,0
PE170814,1,0
PE170816,1,0
PE170818,1,0
PE170821,1,0
PE170824,1,0
PE170825,1,0
PE170826,1,0
PE170828,1,0
PE170831,1,0
PE170833,1,0
PE170835,1,0
PE170844,1,0
PE170845,1,0
PE170849,1,0
PE170850,1,0
PE170851,1,0
PE170852,1,0
PE170853,1,0
PE170854,1,0
PE170861,1,0
PE170862,1,0
PE170863,1,0
PE170868,1,0
PE170876,1,0
PE170878,1,0
PE170879,1,0
PE170883,1,0
PE170885,1,0
PE170888,1,0
PE170889,1,0
PE170890,1,0
PE170895,1,0
PE170899,1,0
PE170900,1,0
PE170901,1,0
PE170903,1,0
PE170906,1,0
PE170907,1,0
PE170911,1,0
PE170912,1,0
PE170914,1,0
PE170920,1,0
PE170922,1,0
PE170926,1,0
PE170928,1,0
PE170931,1,0
PE170932,1,0
PE170933,1,0
PE170938,1,0
PE170940,1,0
PE170942,1,0
PE170943,1,0
PE170947,1,0
PE170949,1,0
PE170950,1,0
