,A1,C4
PE190359,1,0
PE190368,1,0
PE190370,1,0
PE190376,1,0
PE190381,1,0
PE190385,1,0
PE190386,1,0
PE190387,1,0
PE190388,1,0
PE190394,1,0
PE190397,1,0
PE190401,1,0
PE190402,1,0
PE190405,1,0
PE190408,1,0
PE190411,1,0
PE190416,1,0
PE190421,1,0
PE190426,1,0
PE190428,1,0
PE190429,1,0
PE190431,1,0
PE190437,1,0
PE190445,1,0
PE190447,1,0
PE190450,1,0
PE190474,1,0
PE190476,1,0
PE190482,1,0
PE190485,1,0
PE190486,1,0
PE190489,1,0
PE190492,1,0
PE190493,1,0
PE190501,1,0
PE190503,1,0
PE190504,1,0
PE190506,1,0
PE190510,1,0
PE190519,1,0
PE190537,1,0
PE190539,1,0
PE190541,1,0
PE190545,1,0
PE190546,1,0
PE190547,1,0
PE190556,1,0
PE190562,1,0
PE190568,1,0
PE190589,1,0
PE190603,1,0
PE190606,1,0
PE190612,1,0
PE190628,1,0
PE190632,1,0
PE190641,1,0
PE190643,1,0
PE190645,1,0
PE190655,1,0
PE190658,1,0
PE190662,1,0
PE190666,1,0
PE190667,1,0
PE190671,1,0
PE190675,1,0
PE190676,1,0
PE190685,1,0
PE190687,1,0
PE190688,1,0
PE190692,1,0
PE190693,1,0
PE190699,1,0
PE190701,1,0
PE190706,1,0
PE190709,1,0
PE190714,1,0
PE190717,1,0
PE190718,1,0
ST17015,1,0
ST17019,1,0
ST17027,1,0
ST17030,1,0
ST17031,1,0
PE180524,1,0
PE180529,1,0
PE180531,1,0
PE180564,1,0
PE180566,1,0
PE180573,1,0
PE180575,1,0
PE180584,1,0
PE180599,1,0
PE180617,1,0
PE180621,1,0
PE180638,1,0
PE180657,1,0
PE180666,1,0
PE180715,1,0
PE180717,1,0
PE180741,1,0
PE180753,1,0
PE180770,1,0
PE180776,1,0
PE180831,1,0
PE180837,1,0
PE180852,1,0
PE180867,1,0
PE180902,1,0
PE181003,1,0
PE181039,1,0
PE181084,1,0
PE181096,1,0
PE181131,1,0
PE181161,1,0
PE181176,1,0
PE181179,1,0
PE181187,1,0
PE181199,1,0
PE181216,1,0
PE181217,1,0
PE181224,1,0
PE181231,1,0
PE181243,1,0
PE190006,1,0
PE190017,1,0
PE190041,1,0
PE190048,1,0
PE190089,1,0
PE190094,1,0
PE190099,1,0
PE190149,1,0
PE190155,1,0
PE190161,1,0
PE190165,1,0
PE190169,1,0
PE190171,1,0
PE190178,1,0
PE190195,1,0
PE190238,1,0
PE190278,1,0
PE190336,1,0
PE190342,1,0
PE190365,1,0
PE190372,1,0
PE190400,1,0
PE190403,1,0
PE190430,1,0
PE190434,1,0
PE190454,1,0
PE190490,1,0
PE190491,1,0
PE190495,1,0
PE190497,1,0
PE190508,1,0
PE190551,1,0
PE190553,1,0
PE190572,1,0
PE190573,1,0
PE190611,1,0
PE190615,1,0
PE190626,1,0
PE190635,1,0
PE190682,1,0
PE190694,1,0
ST17024,1,0
ST17025,1,0
PE180520,1,0
PE180523,1,0
PE180527,1,0
PE180534,1,0
PE180536,1,0
PE180546,1,0
PE180547,1,0
PE180549,1,0
PE180558,1,0
PE180560,1,0
PE180562,1,0
PE180577,1,0
PE180594,1,0
PE180595,1,0
PE180603,1,0
PE180604,1,0
PE180610,1,0
PE180611,1,0
PE180612,1,0
PE180620,1,0
PE180655,1,0
PE180658,1,0
PE180680,1,0
PE180682,1,0
PE180691,1,0
PE180693,1,0
PE180696,1,0
PE180699,1,0
PE180700,1,0
PE180734,1,0
PE180739,1,0
PE180757,1,0
PE180760,1,0
PE180761,1,0
PE180765,1,0
PE180788,1,0
PE180789,1,0
PE180832,1,0
PE180843,1,0
PE180853,1,0
PE180882,1,0
PE180889,1,0
PE180897,1,0
PE180915,1,0
PE180927,1,0
PE180962,1,0
PE180970,1,0
PE180974,1,0
PE180977,1,0
PE180979,1,0
PE180981,1,0
PE180996,1,0
PE181004,1,0
PE181048,1,0
PE181059,1,0
PE181070,1,0
PE181076,1,0
PE181109,1,0
PE181117,1,0
PE181118,1,0
PE181119,1,0
PE181150,1,0
PE181152,1,0
PE181156,1,0
PE181160,1,0
PE181177,1,0
PE181181,1,0
PE181192,1,0
PE181201,1,0
PE181202,1,0
PE181205,1,0
PE181223,1,0
PE181232,1,0
PE181240,1,0
PE190033,1,0
PE190052,1,0
PE190053,1,0
PE190058,1,0
PE190084,1,0
PE190109,1,0
PE190110,1,0
PE190122,1,0
PE190137,1,0
PE190145,1,0
PE190150,1,0
PE190163,1,0
PE190167,1,0
PE190181,1,0
PE190198,1,0
PE190221,1,0
PE190222,1,0
PE190261,1,0
PE190280,1,0
PE190282,1,0
PE190296,1,0
PE190297,1,0
PE190306,1,0
PE190309,1,0
PE190310,1,0
PE190331,1,0
PE190343,1,0
PE190346,1,0
PE190363,1,0
PE190377,1,0
PE190393,1,0
PE190420,1,0
PE190435,1,0
PE190451,1,0
PE190469,1,0
PE190472,1,0
PE190477,1,0
PE190498,1,0
PE190569,1,0
PE190574,1,0
PE190581,1,0
PE190584,1,0
PE190593,1,0
PE190604,1,0
PE190607,1,0
PE190610,1,0
PE190648,1,0
PE190650,1,0
PE190652,1,0
PE190653,1,0
PE190700,1,0
PE190712,1,0
PE190721,1,0
PE190730,1,0
ST17013,1,0
ST17020,1,0
