,A1,C4
LE001,1,0
LE002,1,0
LE003,1,0
LE004,1,0
LE021,1,0
LE024,1,0
LE026,1,0
LE027,1,0
LE028,1,0
LE029,1,0
LE030,1,0
LE031,1,0
LE032,1,0
LE033,1,0
LE034,1,0
LE035,1,0
LE036,1,0
LGD001,1,0
LGD002,1,0
LGD003,1,0
LGD004,1,0
LGD005,1,0
LGD006,1,0
LGD007,1,0
LGD008,1,0
LGD009,1,0
LGD011,1,0
LGD012,1,0
LGD013,1,0
LGD014,1,0
LGD015,1,0
LGD016,1,0
LGD017,1,0
LGD018,1,0
LGD019,1,0
LGD020,1,0
LGD021,1,0
LGD022,1,0
LGD023,1,0
LGD024,1,0
PE141028,1,0
PE141029,1,0
PE141031,1,0
PE141033,1,0
PE141035,1,0
PE141038,1,0
PE141039,1,0
PE141041,1,0
PE141045,1,0
PE141048,1,0
PE141053,1,0
PE141058,1,0
PE150002,1,0
PE150010,1,0
PE150015,1,0
PE150017,1,0
PE150019,1,0
PE150021,1,0
PE150025,1,0
PE150028,1,0
PE150031,1,0
PE150032,1,0
PE150034,1,0
PE150037,1,0
PE150038,1,0
PE150042,1,0
PE150044,1,0
PE150047,1,0
PE150048,1,0
PE150049,1,0
PE150050,1,0
PE150057,1,0
PE150058,1,0
PE150061,1,0
PE150064,1,0
PE150070,1,0
PE150071,1,0
PE150074,1,0
PE150076,1,0
PE150078,1,0
PE150082,1,0
PE150086,1,0
PE150088,1,0
PE150097,1,0
PE150099,1,0
PE150101,1,0
PE150102,1,0
PE150104,1,0
PE150109,1,0
PE150110,1,0
PE150111,1,0
PE150112,1,0
PE150113,1,0
PE150114,1,0
PE150116,1,0
PE150123,1,0
PE150126,1,0
PE150128,1,0
PE150129,1,0
PE150135,1,0
PE150136,1,0
PE150138,1,0
PE150139,1,0
PE150140,1,0
PE150142,1,0
PE150147,1,0
PE150148,1,0
PE150149,1,0
PE150151,1,0
PE150157,1,0
PE150163,1,0
PE150176,1,0
PE150177,1,0
PE150184,1,0
PE150185,1,0
PE150186,1,0
PE150188,1,0
PE150189,1,0
PE150190,1,0
PE150192,1,0
PE150196,1,0
PE150207,1,0
PE150209,1,0
PE150210,1,0
PE150215,1,0
PE150216,1,0
PE150218,1,0
PE150219,1,0
PE150222,1,0
PE150225,1,0
PE150226,1,0
PE150227,1,0
PE150231,1,0
PE150233,1,0
PE150235,1,0
PE150236,1,0
PE150237,1,0
PE150240,1,0
PE150242,1,0
PE150245,1,0
PE150248,1,0
PE150250,1,0
PE150251,1,0
PE150253,1,0
PE150254,1,0
PE150255,1,0
PE150258,1,0
PE150260,1,0
PE150262,1,0
PE150265,1,0
PE150266,1,0
PE150269,1,0
PE150274,1,0
PE150276,1,0
PE150278,1,0
PE150280,1,0
PE150283,1,0
PE150286,1,0
PE150288,1,0
PE150290,1,0
PE150292,1,0
PE150293,1,0
PE150296,1,0
PE150297,1,0
PE150302,1,0
PE150305,1,0
PE150309,1,0
PE191611,1,0
PE191612,1,0
PE191613,1,0
PE191617,1,0
PE191623,1,0
